AGI_Code	Name.x	Function.x	Localisation	DOI	Comment.x	BIN	metal.1	metal.2	metal.3	Short.name.x	Annotation.x	Other.Name.Type.	Keywords	Is.full.length.cDNA	Name.y	Pathway.x	Function.y	Activity	Comment.y	Annotation.y	Annotation.x	Annotation.y	Annotation	Short.name.y	Localization	Pathway.y	Proposed.functions	Short.name	Localizationa	Fe.S.cluster.typeb	Full.name.annotation	Gene.short.name	Name	Meiotic.phase	Description_custom	Gene_Name	Protein	Function	Ref.	Title	Protein.family.or.Function	Function.related.to.Suberin	Refs
AT1G02400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 gibberellin 2-oxidase, putative / GA2-oxidase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02410	NA	NA	NA	NA	NA	NA	NA	NA	NA	CtaG	cytochrome c oxidase assembly protein CtaG / Cox11 family		similar to unnamed protein product [Vitis vinifera] (GB:CAO62202.1); contains InterPro domain Cytochrome c oxidase assembly protein CtaG/Cox11; (InterPro:IPR007533)		NA	NA	NA	NA	NA	NA	NA	cytochrome c oxidase assembly protein CtaG / Cox11 family; FUNCTIONS IN: copper ion binding; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase assembly protein CtaG/Cox11 (InterPro:IPR007533); Has 2371 Blast hits to 2371 proteins in 476 species: Archae - 0; Bacteria - 724; Metazoa - 77; Fungi - 85; Plants - 18; Viruses - 0; Other Eukaryotes - 1467 (source: NCBI BLink).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02500	SAMS1	S-adenosylmethionine synthetase 1				metal handling	Zn	Fe		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At1g02670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NER		Repair of silent DNA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DWARF27A	Plastids (rice homologue)	[2Fe-2S]?	beta-carotene isomerase D27-like protein; homologue of the characterized rice gene Os11g37650 involved in strigolactone biosynthesis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 MCCA [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At1g03190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATXPD, UVH6	NER	TFIIH complex - Catalyzes unwinding in preincision complex	5' to 3' DNA helicase	Gene isolation: Liu et al. (2003). uvh6-1 (missense) mutants are more sensitive to UV-B and UV-C (Harlow et al., 1994), small and yellow and have a partial defect in the repair of 6-4 photoproducts (Jenkins et al., 1997; Liu et al. 2003). T-DNA insertion mutants exhibit recessive lethality (Liu et al., 2003). Gene expressed in all tissues examined (Liu et al., 2003)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAD3 (UVH6)	Nucleus	[4Fe-4S]b	DNA repair helicase (XPD-like) 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 RNA polymerase II transcription factor/ transcription initiation factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 BSU1; hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 	NA	NA	 kelch repeat-containing protein / serine/threonine phosphoesterase family protein [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection.	 coproporphyrinogen III oxidase, putative / coproporphyrinogenase, putative / coprogen oxidase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding / transcription factor [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03980	PCS2	phytochelatin synthase				metal handling	Zn	Cd	Cu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At1g04020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BCD5					NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 ATBRCA1; protein binding / transcription coactivator/ ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At1g04220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ß-Ketoacyl-CoA synthase	Two Arabidopsis 3-ketoacyl CoA synthase genes, KCS20 and KCS2/DAISY, are functionally redundant in cuticular wax and root suberin biosynthesis	Lee et al., 2009
AT1G04310	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2	ERS2, ethylene receptor				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
At1g04400<U+2028>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CRY2	Photoreactivation				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AAO4	Cytosol	2x[2Fe-2S], FAD, Mococ	Aldehyde oxidase, last step of abscisic acid biosynthesis (AAO3) 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCAR	Plastids	2x[4Fe-4S]	Degradation of light-harvesting complexes and is necessary for efficient photosynthesis by balancing the chlorophyll a/b ratio	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FLIP	FIDGETIN-LIKE-1 INTERACTING PROTEIN	inter-homologous (IH) bias during meiotic recombination	FLIP is a member of a conserved gene family with wide distribution across taxa. In Arabidopsis, it forms a complex with FIGL1 regulates meiotic crossover formation via RAD51 and DMC1.	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
