ID,AGI_Number,Name,Function,generous/stringent/proven direct role,Localisation,EC/TC,DOI,Comment,BINCODE,BIN,EvidenceCode,Annotator / Curator,metal 1,metal 2,metal 3
52,at1g65730,YSL7,Yellow stripe like transporter 7,gsp,,,,,,,,,Fe,,
53,at1g66240,ATX1,"copper chaperone, Cu trafficking to HMA5 and RAN1 (?)",gsp,,,,,,,,U. Krämer,Cu,,
54,at1g68100,IAR1,IAA-alanine resistance protein of ZIP family of transmembrane metal transport proteins,gsp,,2.A.5,,"HX motifs, ZIP family",34.12,transport.metal,,U. Kraemer,Fe,Zn,
55,at1g71200,CITF1,Cu deficiency induced transcription factor 1; regulates Cu delivery to anthers,gsp,,,10.1105/tpc.17.00363,,,,,U. Krämer,Cu,,
56,at1g74770,BTSl1,"BRUTUS-like 1, putative Fe sensor; Fe.binding protein containing three hemerythrin motifs and Zn finger motifs; expressed in upper part of root",gsp,cytoplasm?,,,"Janneke Balk works on it, Michele worked on it; co-regulated (up) under both -Fe and high Zn",,,,U. Krämer,Fe,,
57,at1g75830,PDF1.1,Plant Defensin 1.1; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1111/nph.12396,,15,metal handling,,U. Kraemer,Zn,,
58,at1g76800,VTL2,"Vacuolar Iron Transporter family; nodulin-like 2, decrease in transcript levels under Fe deficiency, complements vit1",gsp,,,10.1371/journal.pone.0110471,,,,,,Fe,,
59,at1g78870,"UBC13A, UBC35","UBIQUITIN CONJUGATING ENZYME 13A, UBIQUITIN-CONJUGATING ENZYME 35",gsp,,,,may play a role in DNA damage responses and error-free post-replicative DNA repair by participating in lysine-63-based polyubiquitination reactions; implicated by W. Schmidt in morphological Fe deficiency response,,,,U. Krämer,Fe,,
60,at1g79520,MTP9,cation diffusion facitlitator or metal transport protein family (named CDF9 by us),gsp,,2.A.4,,AtMTP9,34.12,transport.metal,,U. Kraemer,Mn,,
61,at1g80830,NRAMP1,Nramp family,gsp,,2.A.55,,Mn uptake system,34.12,transport.metal,,U. Kraemer,Mn,,
62,at2g00920,IRONMAN7,Member of conserved family of peptides involved in Fe uptake and homeostasis.,gsp,,,,,,,,,Fe,,
63,at2g01770,VIT1,Vacuolar Iron Transporter 1; Fe transport into vacuole during embryo development; similar to yeast Fe transporter CCC1 originally thought to transport Ca and Mn,gsp,,,10.1126/science.1132563,,,metal handling,similarity to yeast protein,U. Krämer,Fe,,
64,at2g02100,PDF2.2,Plant Defensin 2.2; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1038/s41467-018-03088-1,,,,,,Cd,,
65,at2g02120,PDF2.1,Plant Defensin 2.1; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1038/s41467-018-03088-0,,,,,,Cd,,
66,at2g02130,PDF2.3,Plant Defensin 2.3; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1038/s41467-018-03088-2,,15,metal handling,,U. Kraemer,Cd,,
67,at2g02140,PDF2.6,Plant Defensin 2.6; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,non-secreted,,10.1007/s11103-019-00878-y,,15,metal handling,,U. Kraemer,Cd,,
68,at2g03445,mir398a,mir398 microRNA family,gsp,,,,"Upregulared under Cu deficiency. Targets: CSD2, CSD1, COX5b-1, CCS1",,,,M. Bernal,Cu,,
69,at2g04032,ZIP7,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,,U. Kraemer,Zn,,
70,at2g04620,MTP12,cation diffusion facitlitator or metal transport protein family (named CDF5 by us),gsp,,2.A.4,,AtMTP12,34.12,transport.metal,,U. Kraemer,Zn,,
71,at2g15290,PIC1,chloroplast Fe/Zn/Mg importer?,gsp,,,,,,,,,Fe,Mg,
72,at2g16770,bZIP23,"regulator of Zn deficiency response, redundant with AtbZIP19",gsp,,,,,,,,,Zn,,
73,at2g19110,HMA4,"P1B CPX metal ATPase, Zn/Cd/Pb pump",gsp,plasma membrane,3.A.3,,Zn pump,34.12,transport.metal,complementation of E. coli ZnTA mutant,U. Kraemer,Zn,Cd,
74,at2g23150,NRAMP3,Nramp family,gsp,tonoplast,2.A.55,,retrieval of metal ions from vacuole,34.12,transport.metal,,U. Kraemer,Fe,Mn,
75,at2g23240,MT4b,metallothionein 4b,gsp,,,,,15,metal handling,,U. Kraemer,Cd,Zn,
76,at2g26010,PDF1.3,Plant Defensin 1.3; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1111/nph.12400,,15,metal handling,,U. Kraemer,Zn,,
77,at2g26020,PDF1.2B,Plant Defensin 1.2B; predicted to encode a PR (pathogenesis-related) protein. Belongs to the plant defensin (PDF) family.,gsp,,,10.1111/nph.12398,,15,metal handling,,U. Kraemer,Zn,,
78,at2g26975,COPT6,"transmembrane copper transporter, CTR family",gsp,plasma membrane,,,,,,,,Cu,,
79,at2g28160,"bHLH029, FIT ",Fe-deficiency Induced Transcription Factor 1,gsp,,,,,,,,,Fe,,
80,at2g28260,CNGC15,Arabidopsis putative cyclic nucleotide-gated ion channel 15,gsp,,,10.3390/ijms20020413,,,,,,Ca,Cd,Pb
81,at2g29410,MTP4,cation diffusion facitlitator or metal transport protein family (named CDF4 by us),gsp,,2.A.4,,AtMTPb/AtMTP4,34.12,transport.metal,,U. Kraemer,Zn,,
82,at2g29700,PH1,Phosphatidylinositol 3-phosphate-binding pleckstrin homology (PH) domain-containing protein 1; controls NRAMP1 localization,gsp,,,10.1073/pnas.1702975114,,,,,U. Krämer,Mn,,
83,at2g30080,ZIP6,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,overexpr. in A. halleri shoots,34.12,transport.metal,,U. Kraemer,Zn,,
84,at2g30160,Mfm2,"Mitoferrin-related of MITOCHONDRIAL SOLUTE CARRIER (MSC) family, putative iron transporter across inner mitochondrail membrane related to ScMrs3p and ScMrs4p",gsp,,,,,,,,U. Krämer,Fe,,
85,at2g30360,CIPK11,"CBL-Interacting Protein Kinase 11, FIT interacto, phosphorylates FIT at Ser272. Cytosolic Ca2+ concentration and CIPK11 expression are induced by Fe deficiency. cipk11 mutant plants display compromised root Fe mobilization and seed Fe content. ",gsp,,,,,,,,,Fe,,
86,at2g30766,IRONMAN3,"Functions in iron homeostasis, activates iron deficiency response genes such as bHLH38, bHLH39, IRT1, and FRO2.",gsp,,,,,,,,,Fe,,
87,at2g32270,ZIP3,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,functional complementation of S. cerevisiae mutant and cellular uptake assays,U. Kraemer,Zn,,
88,at2g33740,CUTA,chloroplast copper-binding protein,gsp,chloroplast,,,,15,metal handling,"experimental, chlp. transit peptide functional",U. Kraemer,Cu,,
89,at2g34660,ABCC2,"vacuolar phytochelatin transmembrane transporter, also MRP2",gsp,vacuolar membrane,,,,,,,U. Krämer,"As, Cd",,
90,at2g36880,MAT3,methionine adenosyltransferase 3,gs,,2.5.1.6,,,15,metal handling,,U. Kraemer,Zn,Fe,
91,at2g37920,COPT4,"transmembrane copper transporter, CTR family",gsp,vacuolar membrane,9.A.12,,,34.12,transport.metal,functional complementation of S. cerevisiae mutant and cellular uptake assays,U. Kraemer,Cu,,
92,at2g38170,CAX1,Ca2+/H+ exchanger protein family of transmembrane transporters,gsp,tonoplast,2.A.19.2,,high-affinity Ca2+/H+ antiporter,34.12,transport.metal,biochemical,U. Kraemer,Ca,Mn,Cd
93,at2g38460,IREG1,plasma membrane/stele localization,gsp,,,,,34.12,transport.metal,,U. Kraemer,Fe,Ni,
94,at2g39450,MTP11,cation diffusion facitlitator or metal transport protein family (named CDF7 by us),gsp,,2.A.4,,AtMTP11,34.12,transport.metal,,U. Kraemer,Mn,,
95,at2g40300,FER4,putative ferritin,gsp,,,,,15,metal handling,,U. Kraemer,Fe,,
96,at2g40935,PCR10,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
97,at2g41240,bHLH100,FIT regulatory netwrok Fe deficiency response transcription factors,gsp,,,10.1371/journal.pone.0044843,,,,,U. Krämer,Fe,,
98,at2g42000,MT4a,metallothionein 4a,gsp,,,,,15,metal handling,,U. Kraemer,Cu,Cd,Zn
99,at2g43750,OASB,OAS-TL B; major key isoform of O-acetylserine thiol lyase in cysteine biosynthesis in plastids,gs,plastid,2.5.1.47,,,,,,,Cd,Zn,
100,at2g46320,MTM1-like,AtMTM1-like member of the MSC superfamily,gsp,,,,,,,,U. Krämer,Mn,,
101,at2g46440,CNGC11,Arabidopsis putative cyclic nucleotide-gated ion channel 11,gsp,,,10.3390/ijms20020413,,,,,,Ca,Cd,
102,at2g46800,MTP1,cation diffusion facitlitator or metal transport protein family (named CDF1 by us),gsp,,2.A.4,,"AtMTP1, Zn transporter, overexpressed in A. halleri",34.12,transport.metal,funct. complementation of S. cerevisiae mutant,U. Kraemer,Zn,,
103,at2g47015,mir408,mir408 microRNA family,gsp,,,,"Upregulared under Cu deficiency. Targets: ARPN, LAC3, LAC12, LAC13",,,,M. Bernal,Cu,,
104,at2g47600,MHX1,Mg2+/H+ antiporter; Zn/H+ antiporter,gsp,tonoplast,2.A.19,,"putative Mg2+/H+ exchanger, CaCa family",34.12,transport.metal,"expr. in Xenopus oocytes, experimental",U. Kraemer,Mg,Zn,
105,at2g47830,MTP6,cation diffusion facitlitator or metal transport protein family (named CDF6 by us),gsp,,2.A.4,,AtMTPc1/AtMTP6,34.12,transport.metal,,U. Kraemer,Fe,,
106,at3g01650,RGLG1," RING DOMAIN LIGASE1, E3 ubiquitin ligase in drought stress and Fe deficiency response",gsp,,,,Wolfgang Schmidt 2015,,,,U. Krämer,Fe,,
107,at3g03630,OAS-TL,putative O-acetylserine thiol lyase; S-sulfocysteine synthase activity and lacks O-acetylserine(thiol)lyase activity,gs,plastid,2.5.1.47,,,15,metal handling,ask Hoefgen group,U. Kraemer,Cd,Zn,
108,at3g08040,FRD3,"ferric reductase deficient 3 gene, MATE family; transports citrate into root xylem to maintain root-to-shoot Fe mobility",gsp,,2.A.66,,unknown metalloregulatory function,15,metal handling,frd3 mutant,U. Kraemer,Fe,,
109,at3g08650,GufA,only A. thaliana member of GufA subfamily of ZIP family of transmembrane metal transport proteins,gs,,2.A.5,,"ZIP-family protein, ScZrt3-like; expressed in mature pollen",34.12,transport.metal,,M. Kawachi,Zn,,
110,at3g08650,ZTP50,"ZINC TRANSPORTER 50, putative ZIP family transporter of the ZTP50 subfamily related to CrZIP7",gs,,,,,,,,U. Krämer,Zn,,
111,at3g08950,HCC1,Homologue of the Copper Chaperone Sco1 (synthesis of cytochrome c oxidase 1) 1 from the yeast Saccharomyces cerevisiae,gsp,,,,,,,,M. Bernal,Cu?,,
112,at3g09390,MT2a,metallothionein 2a,gsp,,,,,15,metal handling,,U. Kraemer,Cu,Cd,Zn
113,at3g11050,FER2,putative ferritin,gsp,,,,,15,metal handling,,U. Kraemer,Fe,,
114,at3g12100,MTP5,cation diffusion facitlitator or metal transport protein family (named CDF11 by us),gsp,,2.A.4,,AtMTPc2/AtMTP5,34.12,transport.metal,,U. Kraemer,,,
115,at3g12750,ZIP1,ZIP family of transmembrane metal transport proteins,gsp,,2.A.5.1.1.,,,34.12,transport.metal,functional complementation of S. cerevisiae mutant and cellular uptake assays,U. Kraemer,Zn,,
116,at3g12820,MYB10,"regulation of Fe deficiency responses in stele, incl. NAS4",gsp,,,10.1371/journal.pgen.1003953,,,,,U. Krämer,Fe,,
117,at3g12900,S8H,Scopoletin-8-Hydroxylase; hydroxylates scopoletin to generate fraxetin (8-hydroxyscopoletin). Fraxetin and its oxidized analog sideretin (5-hydroxyfraxetin) are catecholic coumarins secreted into the rhizosphere under Fe deficiency,gsp,,,,,,,,,Fe,,
118,at3g13110,SERAT2;2,serine acetyltransferase 2;2,gs,,2.3.1.30,,,15,metal handling,ask Hoefgen group,U. Kraemer,Cd,Zn,
119,at3g13320,CAX2,Ca2+/H+ exchanger protein family of transmembrane transporters,gsp,tonoplast,2.A.19.2,,"low affinity Ca2+/H+ antiporter, also transports Mn2+",34.12,transport.metal,biochemical,U. Kraemer,Ca,Mn,Cd
120,at3g13610,F6'H1,Fe(II)- and 2-oxoglutarate-dependent dioxygenase family gene F6'H1. Mutations in this gene compromise iron uptake and the production of fluorescent phenolics involved in Fe uptake,gsp,,,,,,secondary metabolism.chelator biosynthesis,,,Fe,,
121,at3g14070,CAX9,Ca2+/H+ exchanger protein family of transmembrane transporters,gs,,2.A.19.2,,,34.12,transport.metal,,U. Kraemer,,,
122,at3g15352,COX17-1,copper chaperone,gsp,,,,mediates the delivery of Cu to the mitochondria; involvement in the hypersensitive response,15,metal handling,experimental,U. Kraemer,Cu,,
123,at3g15353,MT3,metallothionein 3,gsp,,,,,15,metal handling,,U. Kraemer,Cu,Cd,Zn
124,at3g15640,COX5b-1,subunit of the mitochondrial cytochrome c oxidase,gsp,,,,,,,,M. Bernal,Cu,,
125,at3g17390,MTO3,S-adenosylmethionine synthetase family protein,gs,,2.5.1.6,,,15,metal handling,,U. Kraemer,Zn,Fe,
126,at3g17650,YSL5,Yellow stripe like transporter 5,gsp,,,,,,,,,Fe,,
127,at3g17690,CNGC19,Arabidopsis putative cyclic nucleotide-gated ion channel 19,gsp,,,10.3390/ijms20020413,,,,,,Ca,Pb,Cd
128,at3g17700,CNGC20,Arabidopsis putative cyclic nucleotide-gated ion channel 20,gsp,,,10.3390/ijms20020413,,,,,,Ca,Cd??,
129,at3g18290,BTS,"BRUTUS, E3 ubiquitin ligase containing hemerythrin motifs, important in Fe deficiency response, ko lethal",gsp,,,,,,,,,Fe,,
130,at3g18450,PCR5,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
131,at3g18460,PCR4,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
132,at3g18470,PCR7,"related to PCR1, published as transmembrane Cd exporter conferring Cd tolerance ",gsp,,,,,,,,,Zn,,
133,at3g18485,ILR2,IAA-leucine resistant mutant; encodes inhibitor of ATP-dependent Mn transport,gsp,,,,metalloregulatory,??,regulator of metal transport,,U. Kraemer,Mn,,
134,at3g19860,bHLH121,"bHLH transcription factor interacting with bHLH034, 104, 115 and ILR3; not transcriptionally regulated in response to Fe, upstream regulator of Fe deficiency responses",gsp,,,,,,,,,Fe,,
135,at3g20870,ZTP29,"ZINC TRANSPORTER 29, putative ZIP family transporter of the GufA subfamily related to ScZrt3p",gsp,,,,"metal transporter family protein, Zinc/iron permease ",,,,M. Bernal,Zn,,
136,at3g22460,OASA2,O-acetylserine thiol lyase,gs,cytosol,2.5.1.47,,,15,metal handling,ask Hoefgen group,U. Kraemer,Cd,Zn,
137,at3g23210,bHLH034,FIT regulatory netwrok Fe deficiency response transcription factors,gsp,,,10.1104/pp.15.0182,,,,,U. Krämer,Fe,,
138,at3g25190,VTL5,"Vacuolar Iron Transporter family; nodulin-like 21, decrease in transcript levels under Fe deficiency, complements vit1",gsp,,,10.1371/journal.pone.0110472,,,,,,Fe,,
139,at3g27020,YSL6,Yellow stripe like transporter 6,gsp,,,,,,,,,Fe,,
140,at3g43630,VTL3,"Vacuolar Iron Transporter family; nodulin-like 3, no transcriptional response to Fe deficiency",gsp,,,10.1371/journal.pone.0110470,,,,,,Fe,,
141,at3g43660,VTL4,"Vacuolar Iron Transporter family; nodulin-like 4, no transcriptional response to Fe deficiency",gsp,,,10.1371/journal.pone.0110468,,,,,,Fe,,
142,at3g43790,ZIFl2,ZINC-INDUCED FACILITATOR-linke 2,gsp,,,,,,,,,Zn,,
143,at3g46460,UBC13,ubiquitin-conjugating enzyme 13; involved in non-proteolytic morphological Fe deficiency response regulation,gsp,,,,,,,,U. Krämer,Fe,,
144,at3g46900,COPT2,"transmembrane copper transporter, CTR family",gsp,plasma membrane,9.A.12,,,34.12,transport.metal,functional complementation of S. cerevisiae mutant and cellular uptake assays,U. Kraemer,Cu,,
145,at3g47640,"bHLH047, PYE ","POPEYE, bHLH transcription factor important in root Fe deficiency response in pericycle",gsp,,,,,,,,,Fe,,
146,at3g48010,CNGC16,Arabidopsis putative cyclic nucleotide-gated ion channel 16,gsp,,,10.3390/ijms20020413,,,,,,Ca,Cd,
147,at3g51860,CAX3,Ca2+/H+ exchanger protein family of transmembrane transporters,gs,,2.A.19.2,,,34.12,transport.metal,,U. Kraemer,,,
148,at3g53480,PDR9/ABCG37,Pleiotropic Drug resistance 9/ABC transporter exporting scopoletin from roots under Fe deficiency,gsp,,,,,,transport.chelator,,,Fe,,
149,at3g54290,BTSl3,"one hemerythrin domain, else rather different from BTS",gsp,chloroplast (predicted),,,,,,,U. Krämer,Fe,Zn,
150,at3g56090,FER3,putative ferritin,gsp,,,,,15,metal handling,,U. Kraemer,Fe,,
151,at3g56240,CCH,copper chaperone,gsp,cytoplasm,,,,15,metal handling,experimental,U. Kraemer,Cu,,
152,at3g56970,bHLH038,"bHLH transcription factor, interactor of FIT1",gsp,,,,,,,,M. Bernal,Fe,,
153,at3g56980,bHLH039,"bHLH transcription factor, interactor of FIT1",gsp,,,,,,,,M. Bernal,Fe,,
154,at3g58060,MTP8,cation diffusion facitlitator or metal transport protein family (named CDF10 by us),gsp,,2.A.4,,AtMTPc3/AtMTP8,34.12,transport.metal,,U. Kraemer,Mn,,
155,at3g58810,MTP3,cation diffusion facitlitator or metal transport protein family (named CDF3 by us),gsp,,2.A.4,,AtMTPa2/AtMTP3,34.12,transport.metal,,U. Kraemer,Zn,Co,Fe
156,at3g59760,OASC,OAS-TL C; mitochondrial isoform of O-acetylserine thiol lyase in cysteine biosynthesis,gs,mitochondria,2.5.1.47,,,,,,,Cd,Zn,
157,at3g61940,MTP2,cation diffusion facitlitator or metal transport protein family (named CDF2 by us),gsp,,2.A.4,,AtMTPa1/AtMTP2,34.12,transport.metal,,U. Kraemer,Zn,,
158,at4g01010,CNGC13,Arabidopsis putative cyclic nucleotide-gated ion channel 13,gsp,,,10.3390/ijms20020413,,,,,,Ca,Pb,
159,at4g01850,SAMS2,S-adenosylmethionine synthetase 2,gs,,2.5.1.6,,,15,metal handling,ask Hoefgen group,U. Kraemer,Zn,Fe,
160,at4g02880,FBP,FIT-binding protein; negative regulator of FIT specifically in the stele; local suppression of NAS,gsp,nucleus,,10.1111/pce.13321,,,,,U. Krämer,Fe,Zn,
161,at4g05105,mir397a,mir397 microRNA family,gsp,,,,"Upregulared under Cu deficiency. Targets: LAC2, LAC4, LAC17",,,,M. Bernal,Cu,,
162,at4g13380,MEE56,maternal effect embryo arrest 56,gsp,,,,Heavy metal transport/detoxification protein,,,,M. Bernal,,,
163,at4g13554,mir857,mir857 microRNA family,gsp,,,,Upregulared under Cu deficiency. Targets: LAC7,,,,M. Bernal,Cu,,
164,at4g13555,mir397b,mir397 microRNA family,gsp,,,,"Upregulared under Cu deficiency. Targets: LAC2, LAC4, LAC18",,,,M. Bernal,Cu,,
